LandProvince,SeaZone,x,y,
165,2587,3011.286,2069.248,
166,2587,3026.083,2070.137,
168,2587,3044.039,2072.653,
206,2732,3067.394,2551.932,
207,2731,2968.834,2459.403,
208,2732,3030.008,2528.465,
209,2731,3000.125,2498.054,
212,2731,3012.191,2511.418,
220,2595,2690.355,2074.619,
234,2731,2892.77,2440.522,
238,2731,2949.009,2443.69,
239,2731,2878.787,2434.709,
240,2623,2820.503,2404.717,
241,8019,2829.05,2432.411,
242,2623,2860.328,2395.413,
243,2623,2869.434,2395.11,
245,2623,2830.18,2355.823,
246,2623,2840.546,2384.058,
248,2623,2808.341,2351.295,
252,2618,2748.612,2335.682,
254,2618,2733.255,2331.566,
255,2618,2699.82,2337.011,
256,2618,2681.931,2329.652,
257,2618,2643.266,2284.898,
258,2619,2646.613,2258.483,
259,2617,2671.931,2245.334,
261,2618,2663.728,2309.88,
263,2608,2636.592,2024.078,
266,2589,2848.678,1994.62,
270,2621,2587.596,2275.935,
275,2594,2787.257,2061.293,
277,2620,2554.175,2171.11,
279,2617,2716.683,2199.623,
280,2592,2792.072,1904.277,
281,2617,2702.692,2253.917,
282,2617,2702.164,2216.887,
283,2617,2685.706,2214.268,
284,2617,2648.621,2204.221,
285,2617,2712.076,2185.473,
286,2617,2669.321,2141.494,
287,2617,2733.71,2157.993,
288,2595,2710.888,2132.92,
289,2617,2678.381,2164.453,
290,2595,2752.878,2117.739,
291,2595,2730.131,2124.674,
297,2619,2620.079,2289.915,
310,2594,2732.932,2041.988,
330,2680,3294.007,2019.047,
331,2679,3276.32,1975.093,
332,2679,3263.271,1947.242,
333,2680,3195.786,1955.012,
334,2677,3178.761,1911.293,
335,2680,3226.745,1979.999,
338,2677,3233.035,1920.434,
341,8019,2787.68,2434.859,
342,2736,2749.559,2449.86,
343,2736,2734.356,2469.979,
344,2598,2719.699,1865.143,
345,2623,2772.609,2403.73,
346,2623,2751.276,2396.849,
347,2618,2717.124,2377.781,
349,8020,2646.013,2307.479,
350,8020,2674.581,2348.523,
351,2599,2609.251,1867.139,
354,8020,2639.268,2338.086,
355,2597,2691.204,1840.418,
356,2616,2522.748,2334.591,
357,2616,2611.46,2356.112,
358,2598,2641,1864.802,
359,2598,2660.625,1866.229,
361,2601,2628.717,1824.256,
362,2616,2553.878,2360.336,
363,2616,2518.602,2350.891,
365,2616,2482.57,2327.756,
366,2616,2469.08,2324.081,
367,2599,2561.354,1869.926,
368,2599,2536.252,1864.596,
370,2600,2561.595,1840.405,
372,2601,2617.688,1835.885,
373,6418,2416.902,2303.92,
375,2608,2671.791,1997.259,
376,6418,2443,2277,
377,2616,2480.014,2304.619,
378,2615,2479.023,2270.389,
379,7709,2384.694,2331.358,
380,6418,2399.795,2258.314,
387,2608,2621.062,1984.556,
391,7906,2435.77,2192.532,
392,6418,2425.287,2228.071,
398,7906,2428.785,2184.678,
399,7907,2417.407,2152.259,
402,7907,2452.823,2140.594,
403,7906,2451.72,2167.605,
406,7907,2481.228,2126.028,
407,2605,2501.132,2118.993,
409,2605,2555.372,2089.834,
410,2614,2528.283,2141.331,
413,2605,2516.751,2112.183,
415,2534,2174.182,2341.572,
416,2604,2504.728,2074.821,
417,2604,2479,2076,
418,2604,2459.243,2067.122,
419,2613,2243.332,2186.885,
420,6436,2489.561,2186.641,
421,2613,2225.646,2215.858,
422,2534,2172.875,2296.878,
424,7748,2427.019,2104.568,
428,6418,2403.244,2294.299,
429,5865,2477.518,1961.826,
430,4724,2444,1965,
431,4723,2396.875,1978.878,
432,2611,2377.229,1962.971,
433,2611,2369.722,2010.182,
434,7747,2362.072,2084.773,
437,2607,2571.576,2013.038,
440,2603,2444.192,2036.342,
441,2604,2474.162,2047.084,
442,2604,2488.025,2058.514,
443,7749,2558.61,2038.95,
444,7748,2395.69,2090.061,
445,2577,3014.593,1523.546,
446,2611,2333.662,2043.628,
447,2609,2601.853,2042.354,
450,7750,2470.469,1988.368,
451,2604,2499.603,2035.53,
452,2609,2611.542,2057.166,
453,2578,3043.985,1541.493,
454,2602,2651.598,1954.13,
457,7747,2356,2095,
458,7748,2404.862,2100.845,
459,2612,2288.65,2111.777,
460,2611,2313.313,2033.605,
461,2612,2277.354,2086.819,
463,2613,2286.322,2134.428,
464,2613,2289.609,2148.836,
465,2613,2313,2150,
467,2533,2183.158,2257.394,
468,7748,2453.213,2093.944,
470,2613,2224.931,2192.806,
471,5865,2484.949,1918.669,
472,7749,2549.343,2051.287,
473,4723,2416.691,1968.446,
480,2736,2706.178,2541.823,
481,2736,2695.175,2526.785,
482,2736,2706.886,2514.133,
505,7684,3289.003,1494.77,
507,7667,3203.465,1516.583,
508,2579,3226.768,1591.817,
509,2580,3275.377,1605.977,
510,2579,3237.072,1588.64,
516,2578,3060.238,1559.429,
517,7682,3119.188,1563.855,
519,7681,3147.815,1547.131,
521,7677,3168.152,1580.899,
522,7679,3186.844,1607.72,
523,2579,3148.004,1619.962,
529,2578,3079.916,1578.22,
530,2578,3090.601,1582.2,
533,2579,3130.873,1599.623,
535,2580,3320.806,1621.841,
536,7687,3186.183,1481.822,
580,1473,3549,1172,
583,1478,3671.603,1023.695,
585,1476,3652.634,1065.959,
587,1476,3607.198,1105.177,
647,1473,3476.063,1245.842,
649,652,3458.349,1279.606,
650,652,3426.14,1312.431,
656,2580,3360.46,1626.612,
657,2580,3376.805,1637.526,
658,2580,3386.083,1648.148,
659,2580,3393.301,1660.547,
660,2580,3398.881,1674.036,
661,2581,3404.754,1693.572,
662,2581,3406.663,1707.548,
663,2581,3408.318,1722.924,
664,2581,3408.882,1731.957,
665,2581,3408.385,1749.151,
666,2581,3405.948,1784.431,
667,2581,3407.69,1759.355,
668,2581,3407.06,1770.723,
670,2582,3411.225,1801.297,
704,7745,3481.943,1499.901,
724,7745,3488.921,1460.266,
725,7746,3493.873,1394.913,
743,2582,3412.927,1835.692,
744,2582,3410.472,1821.509,
746,2582,3414.014,1853.392,
747,2582,3416.528,1865.506,
748,2582,3419.78,1896.421,
766,2582,3423.943,1912.829,
767,2583,3420.536,1931.863,
769,2583,3429.99,1950.181,
771,2583,3436.058,1958.531,
779,2583,3416.166,1984.412,
780,2583,3414.739,2004.764,
785,2583,3412.146,2022.714,
786,2583,3402.152,2036.775,
788,2584,3394.577,2062.114,
789,2584,3397.257,2086.166,
795,2584,3392.103,2132.928,
796,2584,3391.171,2157.902,
912,7716,4093.58,2034.553,
918,7721,4073.772,1987.986,
940,7722,4372.983,1938.102,
942,2816,4405.29,1897.183,
944,2815,4462.52,1823.853,
963,2815,4481.301,1835.193,
964,2815,4447.9,1836.914,
965,2816,4445.023,1873.29,
969,2816,4469.822,1932.275,
971,2816,4446.61,1921.928,
1000,2552,1090.855,2389.855,
1001,2552,1090.59,2425.348,
1003,2552,1075.014,2368.294,
1004,2553,1034.633,2348.37,
1006,2553,1014.766,2332.194,
1009,2523,952.4,2318.89,
1012,8037,906.044,2296.579,
1017,4743,779.143,2543.698,
1029,2524,845.791,2204.2,
1030,2524,834.725,2181.776,
1031,2525,862.013,2114.495,
1032,2524,838.022,2157.311,
1033,2525,814.991,2086.427,
1034,2525,801.465,2069.928,
1035,2525,792.41,2050.315,
1036,2525,783.065,2032.481,
1037,2525,838.803,2100.089,
1051,4733,293.824,2441.004,
1053,2523,972.1,2323.877,
1063,2523,933.528,2312.954,
1083,4743,745.282,2541.833,
1099,4743,728.239,2551.05,
1106,4742,694.229,2553.428,
1107,4742,656.253,2569.541,
1108,4742,610.23,2568.351,
1114,4741,550.125,2590.782,
1115,4741,572.422,2580.732,
1118,4741,511.716,2602.992,
1124,4741,474.892,2605.799,
1130,4738,352.053,2613.221,
1131,4738,360.438,2616.581,
1132,4740,397.148,2635.876,
1133,4740,424.431,2626.783,
1134,4740,432.505,2615.458,
1136,4738,331.372,2610.339,
1137,4738,295.046,2580.586,
1138,4733,299.243,2554.938,
1149,4733,305.929,2533.515,
1150,4733,298.908,2499.586,
1151,4733,295.444,2464.757,
1235,2524,861.542,2224.316,
1239,2523,897.535,2267.184,
1240,2524,875.843,2243.447,
1273,2554,743.41,2021.966,
1274,2554,716.938,2003.656,
1276,2554,702.779,1980.437,
1278,2555,667.312,1967.798,
1282,2555,655.819,1968.88,
1283,2555,617.464,1966.74,
1289,4733,295.258,2424.007,
1291,4731,290.22,2394.447,
1293,4731,268.596,2347.076,
1294,4731,262.596,2327.532,
1297,4731,248.572,2305.028,
1316,4727,227.254,2277.602,
1318,4727,217.163,2198.574,
1319,4727,204.432,2214.422,
1321,4726,237.363,2184.627,
1322,4726,239.666,2171.942,
1324,4726,232.049,2151.986,
1330,4726,229.987,2126.547,
1333,4591,227,2077,
1334,4591,268.623,2051.511,
1335,2780,307.407,2054.191,
1336,4592,225.345,2105.107,
1339,2780,337.737,2053.505,
1340,2780,365.675,2034.991,
1341,7665,389,2027,
1342,2780,377.397,1998.206,
1344,2780,384.895,1978.475,
1345,2730,404.795,1949.075,
1347,2730,416.206,1937.351,
1348,2730,453.809,1950.672,
1350,2556,476.543,1963.502,
1361,2556,507.544,1968.13,
1362,2556,520.166,1977.915,
1366,2556,545.403,1977.515,
1367,2555,574.596,1973.084,
1453,2623,2808.936,2403.251,
1464,2723,950.668,2121.958,
1465,2718,1037.521,2174.005,
1466,2718,1054.107,2155.061,
1467,2719,1073.315,2194.133,
1468,2720,1082.397,2164.246,
1469,2719,1133.037,2214.41,
1470,2625,1682.605,1908.047,
1471,2630,1860.071,1832.153,
1472,2500,1891.182,2067.16,
1600,7744,3345.056,1436.76,
1604,7743,3307.008,1482.158,
1653,2594,2744.226,2027.964,
1675,7744,3364.245,1417.224,
1682,652,3412.706,1367.667,
1688,7745,3477.806,1464.362,
1708,7746,3477.707,1405.925,
1720,2735,3609.709,2717.755,
1723,2735,3620.931,2701.803,
1724,2735,3623.002,2691.591,
1725,2735,3616.954,2672.908,
1726,2735,3612.764,2655.615,
1727,2735,3602.851,2642.802,
1729,2734,3578.749,2616.701,
1730,2734,3568.181,2605.757,
1731,2734,3553.353,2593.663,
1732,2734,3538.37,2588.454,
1734,2734,3520.521,2586.46,
1737,2735,3584.503,2752.482,
1738,2735,3563.335,2767.348,
1741,2744,3542.238,2778.561,
1742,2744,3518.931,2779.942,
1743,2744,3486.07,2786.808,
1745,2744,3452.665,2799.65,
1774,2616,2589.128,2322.446,
1793,2733,3371.141,2546.844,
1795,2733,3393.99,2551.529,
1797,2734,3473.57,2576.537,
1798,2734,3438.436,2554.337,
1806,2733,3331.423,2558.979,
1807,2733,3289.205,2548.913,
1809,2733,3270.073,2567.466,
1810,2733,3225.491,2562.473,
1812,2733,3194.058,2582.683,
1814,2732,3157.679,2573.601,
1815,2732,3120.094,2566.571,
1816,2732,3094.546,2562.49,
1830,2591,2839.763,1961.477,
1835,2608,2632.84,2049.11,
1876,2589,2844.545,2028.541,
1879,2584,3372.316,2150.15,
1880,8029,3349.283,2171.228,
1881,8028,3338.085,2145.687,
1883,8051,3307.711,2145.3,
1884,2590,2816.948,2011.538,
1887,2585,3288.205,2125.595,
1889,2584,3344.913,2120.393,
1890,2585,3247.678,2070.769,
1892,2585,3268.74,2101.103,
1897,2586,3222.944,2050.18,
1901,2586,3182.645,2032.725,
1903,6437,2587.637,2089.373,
1904,2586,3141.158,2036.487,
1905,2587,3099.477,2061.885,
1906,2587,3122.722,2052.385,
1910,2587,3063.178,2070.342,
1911,2587,3032.363,2072.37,
1915,2608,2625.812,2025.434,
1964,2607,2576.619,1983.074,
1970,2590,2771.838,2018.87,
1972,2594,2766.97,2088.362,
1973,2594,2761.645,2080.269,
1974,2595,2735.017,2090.965,
1981,2590,2779.987,2036.926,
1985,2590,2834.6,2045.644,
1987,2590,2784.979,2007.077,
1989,2589,2865.965,2033.014,
1992,2589,2900.476,2029.503,
1995,2588,2920.228,1999.024,
1996,2593,2715.651,1984.796,
1998,2588,2928.664,1994.9,
2000,5699,676.411,3171.531,
2001,5699,717.897,3175.572,
2002,5715,689.625,3212.394,
2003,5700,758,3188,
2004,5718,718.956,3238.694,
2005,5717,747.109,3253.652,
2006,5706,786.206,3198.127,
2007,5706,819.179,3186.972,
2008,5717,784.813,3245.56,
2009,5717,795.35,3255.631,
2010,5705,862.121,3190.699,
2013,5705,904.358,3189.546,
2014,5705,887.679,3174.807,
2017,5705,914.164,3185.955,
2019,5708,943.507,3189.803,
2020,5708,993.423,3187.307,
2021,5710,1040.886,3218.139,
2022,8035,976.748,3257.142,
2023,5778,1006.329,3240.904,
2024,5717,814.263,3269.211,
2028,5778,1017.92,3255.975,
2029,5778,1046.441,3283.314,
2031,5776,1004.692,3373.788,
2033,5777,1070.948,3340.699,
2036,5777,1062.695,3305.5,
2037,5776,989.719,3366.793,
2039,5717,853,3289,
2040,5717,804.905,3272.041,
2047,5733,815.986,3438.476,
2057,5776,993.665,3386.271,
2063,5776,984.923,3375.528,
2071,5733,818.582,3453.753,
2073,5736,826.995,3480.537,
2075,8036,958.388,3448.369,
2076,5775,989.696,3437.179,
2079,5774,958.275,3519.512,
2080,5736,838.724,3500.584,
2081,5736,829.322,3504.37,
2082,5737,804.533,3530.829,
2083,5737,819.212,3566.743,
2085,5774,934.002,3539.427,
2087,5774,926.531,3560.281,
2089,5773,921.108,3582.719,
2090,5773,914.326,3625.552,
2091,5737,820.247,3578.514,
2092,5717,796.099,3268.926,
2093,5717,764.228,3266.015,
2094,5717,749.232,3284.836,
2095,5718,724.318,3298.949,
2096,5731,739.24,3347.044,
2099,5719,684.177,3314.514,
2103,5731,750.966,3366.543,
2104,5731,748.544,3401.173,
2105,5732,734.651,3442.563,
2106,5733,799.567,3436.522,
2108,5735,740,3507,
2109,5739,731.779,3595.822,
2110,5737,790.404,3566.079,
2111,5772,886.573,3657.746,
2112,5739,762.982,3637.024,
2114,5772,846.671,3664.037,
2115,5772,859.764,3681.169,
2116,5771,916.399,3761.35,
2117,5739,748.072,3657.253,
2118,5758,721.989,3759.251,
2119,5765,740.824,3825.341,
2120,5768,817.832,3808.974,
2121,5765,770.17,3869.61,
2122,5767,819.666,3900.924,
2123,5768,847.113,3817.202,
2124,5739,755.398,3649.587,
2125,5770,915.396,3809.213,
2126,5739,721.861,3641.276,
2127,5757,699.274,3714.38,
2128,5759,707.078,3827.136,
2129,5759,706.925,3860.272,
2130,5759,670.613,3824.693,
2131,5768,852.809,3856.067,
2132,5767,890.26,3922.367,
2133,5772,878.358,3706.749,
2134,5711,858.495,3096.251,
2135,5694,843.957,3063.384,
2136,5697,888.912,3070.332,
2137,5694,847.172,3049.505,
2138,5697,913.877,3062.993,
2140,5693,845.945,3019.553,
2141,5693,808.652,3009.485,
2145,5693,839.559,3006.629,
2148,5672,758.176,2913.386,
2151,5686,656.348,3004.306,
2152,5686,678.602,2985.368,
2153,5672,780.565,2891.487,
2154,5672,731.203,2934.5,
2155,5673,687.193,2956.531,
2157,5693,781.193,3006.929,
2158,5693,747.071,3039.272,
2160,5686,708.453,3031.765,
2161,5725,419.608,3347.773,
2162,5723,516.102,3342.25,
2165,5729,648.644,3411.327,
2166,5726,496.531,3474.672,
2169,5726,488.123,3480.329,
2171,5742,548.635,3577.955,
2173,5739,698.348,3575.743,
2174,5744,647.578,3626.269,
2175,5742,563.131,3590.375,
2176,5725,413.694,3362.302,
2177,5723,467.967,3331.604,
2178,5720,558.492,3360.976,
2179,5727,432.963,3404.329,
2180,5727,449.129,3423.308,
2183,5726,467.792,3449.447,
2184,5726,502,3479.396,
2186,5720,585.46,3360.375,
2188,5721,624.997,3368.579,
2189,5721,640.412,3398.009,
2190,5734,657.861,3482.104,
2193,5734,655.42,3513.082,
2195,5734,676.846,3519.918,
2197,5728,468.484,3559.721,
2199,5742,514.737,3567.275,
2200,5728,461.362,3523.44,
2203,5744,606.553,3642.328,
2204,5743,567.67,3631.259,
2207,5739,689.968,3617.178,
2208,5738,706.187,3541.465,
2210,5672,798.141,2865.121,
2212,7864,819.694,2886.031,
2218,5697,928.913,3057.089,
2223,5697,946.64,3060.403,
2224,5671,802.913,2831.781,
2225,5671,824.146,2806.744,
2226,5671,843.906,2779.243,
2229,5670,834.347,2749.038,
2233,5670,834.458,2714.098,
2235,5670,824.292,2664.593,
2236,7766,864.473,2650.943,
2237,4743,815.872,2615.874,
2238,4743,805.531,2586.312,
2239,4743,798.18,2564.12,
2240,4743,789.639,2550.016,
2256,2551,1089.232,2482.944,
2257,2552,1083.906,2452.701,
2259,2551,1105.89,2500.373,
2260,2551,1126.271,2509.185,
2313,2551,1150.535,2522.305,
2318,2551,1179.267,2512.652,
2319,7846,1198.047,2545.352,
2323,2551,1209.307,2507.444,
2325,2550,1246.316,2485.807,
2336,2535,2177.837,2385.333,
2468,5697,950.118,3073.522,
2470,5698,989.184,3101.065,
2471,5698,1011.188,3105.395,
3026,5698,1045.101,3161.657,
3028,5779,1103.065,3201.596,
3029,5710,1070.91,3195.618,
3033,5698,1026.393,3112.368,
3036,5698,1042.013,3146.652,
3057,5775,985.612,3429.704,
3061,2730,425.055,1917.79,
3062,4589,377.848,1876.217,
3063,4589,341.396,1815.051,
3064,2730,388.554,1895.002,
3065,4589,366.293,1855.194,
3066,4589,354.035,1834.276,
3068,4590,313.388,1778.676,
3080,2558,615.199,1828.602,
3083,2558,662.665,1815.586,
3085,2730,443.471,1902.1,
3086,2558,697.285,1818.863,
3090,2558,725.01,1831.302,
3091,2558,730.621,1843.332,
3092,2559,776.333,1857.657,
3095,2559,812.194,1860.833,
3101,2559,833.139,1879.522,
3106,2560,889.613,1905.231,
3108,2560,920.577,1914.415,
3109,2559,860.881,1894.457,
3111,2560,964.75,1916.094,
3113,2560,984.69,1917.655,
3116,2560,1007.904,1913.883,
3118,2561,1050.973,1925.452,
3120,2561,1081.106,1926.26,
3121,2561,1101.441,1934.512,
3122,2561,1123.946,1933.161,
3123,2561,1156.723,1930.447,
3126,2562,1188.727,1920.401,
3144,2562,1211.482,1906.274,
3145,2562,1231.3,1917.069,
3150,2562,1253.495,1920.29,
3160,2562,1270.215,1926.721,
3161,2562,1302.973,1931.352,
3225,2563,1385.372,1922.549,
3226,2562,1342.937,1928.099,
3227,2562,1325.474,1921.986,
3229,2563,1434.751,1922.221,
3230,2563,1458.609,1927.865,
3243,2566,1579.913,1853.111,
3244,2566,1586.559,1871.997,
3245,2565,1606,1887,
3252,2564,1579.578,1907.47,
3253,2564,1571.418,1904.864,
3254,2565,1619.703,1909.008,
3255,2564,1602.311,1926.118,
3256,2564,1569.214,1916.102,
3257,2564,1559.868,1937.332,
3258,2564,1537.571,1953.051,
3262,2563,1490.828,1950.343,
3275,2566,1585.851,1837.336,
3276,2566,1597.808,1820.089,
3277,2566,1612.516,1812.393,
3278,2566,1622,1788,
3280,2567,1623.016,1760.536,
3283,2567,1612.089,1734.84,
3284,2567,1642.515,1730.922,
3285,2568,1583.326,1705.184,
3287,2567,1599.895,1718.678,
3288,2568,1564.881,1690.837,
3289,2568,1550.812,1676.036,
3291,2568,1561.238,1646.96,
3293,2568,1589.772,1632.849,
3294,2568,1600.421,1645.215,
3295,2568,1627.2,1627.421,
3296,2569,1635.126,1605.508,
3297,2569,1643.161,1592.929,
3298,2569,1672.105,1583.198,
3299,2569,1687.217,1580.498,
3300,2569,1722.809,1560.415,
3301,2569,1740.288,1558.099,
3302,2569,1765.962,1560.775,
3303,2570,1800.89,1568.889,
3304,2570,1820.587,1560.279,
3305,2570,1858.31,1555.489,
3306,2570,1879.985,1543.067,
3324,2570,1906.019,1532.885,
3325,2570,1944.523,1526.011,
3326,2571,1959.675,1484.419,
3327,2571,1972.643,1459.175,
3329,2571,1990.973,1442.175,
3330,2571,2010.285,1434.574,
3332,2571,2031.107,1431.197,
3333,2571,2060,1432.5,
3334,2572,2102.626,1426.115,
3335,2572,2135.159,1416.293,
3336,2572,2158.789,1407.178,
3337,2572,2209.897,1382.123,
3338,2572,2235,1367,
3339,2572,2266.626,1364.613,
3340,2572,2291.171,1378.383,
3341,2573,2313.524,1404.288,
3342,2573,2323.828,1425.681,
3344,2573,2326.433,1449.329,
3346,2573,2309.448,1479.695,
3348,2573,2302.846,1510.188,
3350,2573,2314.151,1540.926,
3352,2574,2335.406,1565.96,
3353,2574,2363.534,1587.42,
3354,2574,2386.251,1600.114,
3358,2574,2411.237,1609.446,
3360,2575,2436.579,1617.745,
3361,2575,2466.872,1618.12,
3363,2575,2494.861,1613.726,
3365,2575,2521.171,1607.54,
3366,2575,2541.381,1585.235,
3367,2575,2547.983,1574.062,
3368,2575,2562.711,1568.704,
3369,2575,2593.3,1570.292,
3370,2576,2620.293,1561.401,
3371,2576,2639.468,1563.347,
3372,2576,2693,1553,
3373,2576,2707.338,1532.097,
3374,2576,2729.693,1537.322,
3375,2576,2758.647,1548.532,
3376,2576,2795.913,1544.221,
3377,2577,2845.63,1544.253,
3378,2577,2873.27,1541.821,
3379,2577,2897.565,1531.656,
3380,2577,2919.891,1528.798,
3476,2577,2943.027,1531.265,
3477,2577,2971.554,1532.121,
3478,2577,2985.628,1529.847,
3481,2688,1439,2111,
3483,2688,1453.193,2097.927,
3484,2689,1479.755,2123.084,
3485,2690,1430.717,2152.791,
3486,2689,1513.412,2124.46,
3487,2689,1518.308,2157.544,
3488,2689,1521.524,2186.471,
3489,2689,1521.273,2225.292,
3492,2690,1439.252,2177.126,
3493,2690,1438.512,2185.499,
3494,2690,1435,2217,
3497,2690,1426.358,2242.529,
3499,2690,1415.728,2256.19,
3500,2692,1433.725,2272.496,
3503,2691,1524.738,2254.121,
3504,2691,1513.5,2280,
3505,2692,1459.641,2282.219,
3506,2691,1491.589,2307.67,
3507,2691,1497.396,2334.32,
3508,2692,1471,2327,
3509,2692,1455.458,2361.024,
3510,2692,1452.198,2379.975,
3511,2694,1447.402,2412.485,
3512,2694,1471.54,2432.604,
3513,2694,1493.065,2455.423,
3514,2693,1509.844,2407.862,
3515,2691,1504,2374,
3517,2550,1276.307,2474.367,
3540,2550,1315.449,2481.061,
3541,2549,1328.757,2500.55,
3543,2549,1353.356,2520.507,
3544,2549,1374.355,2530.524,
3545,2549,1395.346,2535.874,
3546,2548,1421,2553,
3547,2548,1438.606,2574.261,
3549,2548,1458,2588.5,
3552,2548,1495.484,2576.737,
3582,8034,1539.727,2652.242,
3593,8030,1667.6,2649.465,
3594,2507,1678.936,2676.699,
3598,2507,1690.475,2681.528,
3601,2507,1711.694,2692.532,
3602,2507,1735.526,2711.371,
3606,2507,1752.098,2706.35,
3607,2507,1765.93,2709.079,
3675,5779,1131.205,3214.3,
3701,7731,1426.975,3084.116,
3714,7726,1320.479,3241.541,
3832,5784,1317.506,3402.424,
3833,5784,1354.644,3395.288,
3836,5785,1400.446,3424.077,
3837,5785,1433.32,3438.953,
3839,5785,1424.488,3417.646,
3843,5779,1156.603,3236.481,
3844,5780,1178.406,3256.604,
3845,5780,1190.575,3270.019,
3846,5780,1216.34,3300.006,
3847,5781,1229.905,3358.431,
3848,5782,1269.822,3298.449,
3850,5782,1275.003,3300.264,
3851,5782,1289.065,3315.044,
3852,5784,1290.261,3400.667,
3854,5782,1298.989,3329.437,
3855,5785,1450.797,3445.051,
3856,5785,1445.079,3471.02,
3858,5843,1572.816,3443.276,
3859,5843,1583.849,3470.734,
3860,5842,1546.76,3480.839,
3861,5840,1528.781,3487.175,
3862,5840,1525.108,3508.662,
3863,5786,1436.609,3509.385,
3864,5786,1432.461,3523.101,
3865,5840,1517.505,3536.213,
3866,5787,1425.072,3604.769,
3867,5787,1422.013,3632.153,
3868,5840,1507.948,3548.492,
3869,5839,1511.322,3588.797,
3870,5839,1527.754,3603.363,
3871,5837,1543.736,3635.088,
3873,5837,1536.483,3636.452,
3874,5787,1422.282,3668.415,
3875,5788,1437.146,3708.762,
3877,5834,1540.152,3683.934,
3879,5833,1550.262,3750.718,
3880,5827,1502.839,3740.823,
3881,5839,1566.784,3548.305,
3882,5839,1532.539,3586.888,
3883,5839,1564.516,3567.118,
3884,5843,1611.621,3502.04,
3885,5841,1604.396,3548.868,
3886,5837,1588.234,3599.308,
3887,5838,1643.228,3581.733,
3891,5843,1585.502,3445.889,
3896,5843,1621.16,3458.804,
3897,5843,1641.63,3465.595,
3898,5844,1711.055,3460.977,
3899,5844,1708.54,3500.284,
3903,5846,1745.937,3451.466,
3904,5846,1756.848,3444.369,
4018,2507,1767.211,2696.428,
4019,2515,1761.391,2664.508,
4020,2515,1776,2635,
4021,2512,1801.916,2654.584,
4023,2512,1810.114,2676.711,
4032,2512,1826.636,2648.632,
4033,2512,1847.253,2645.859,
4034,2512,1812.943,2645.339,
4035,2512,1848.284,2619.732,
4049,2512,1875,2604,
4052,2526,1852.195,2599.872,
4053,2526,1865.713,2579.555,
4054,2526,1870.669,2572.559,
4055,2512,1904,2580,
4056,2538,1895.076,2546.713,
4058,2538,1918.861,2530.097,
4060,2537,1938.918,2517.901,
4062,2537,1958.767,2520.441,
4081,2537,1995.264,2502.822,
4082,2537,2019.004,2486.147,
4084,2537,1962.043,2496.48,
4085,2536,2067,2454,
4088,2536,2087.03,2441.042,
4090,2535,2134,2414,
4091,2535,2119.585,2422.56,
4247,2737,2707.186,2571.317,
4248,2737,2706.721,2587.231,
4249,2737,2717.418,2607.362,
4250,2737,2732.28,2608.887,
